银行中文名,英文缩写,SVG文件路径
三菱UFJ银行,,bank-logos/svg/三菱UFJ银行.svg
三菱日联银行,,bank-logos/svg/三菱日联银行.svg
上海农商银行,SRCB,bank-logos/svg/上海农商银行.svg
上海银行,BOSC,bank-logos/svg/上海银行.svg
上饶银行,SRBANK,bank-logos/svg/上饶银行.svg
东亚银行,BEA,bank-logos/svg/东亚银行.svg
东莞农商银行,DRCBANK,bank-logos/svg/东莞农商银行.svg
东莞银行,DGBANK,bank-logos/svg/东莞银行.svg
东营银行,DYCCB,bank-logos/svg/东营银行.svg
中信银行,CITIC,bank-logos/svg/中信银行.svg
中原银行,ZYBANK,bank-logos/svg/中原银行.svg
中国光大银行,CEB,bank-logos/svg/中国光大银行.svg
中国农业银行,ABC,bank-logos/svg/中国农业银行.svg
中国工商银行,ICBC,bank-logos/svg/中国工商银行.svg
中国建设银行,CCB,bank-logos/svg/中国建设银行.svg
中国民生银行,CMBC,bank-logos/svg/中国民生银行.svg
中国邮政储蓄银行,PSBC,bank-logos/svg/中国邮政储蓄银行.svg
中国银行,BOC,bank-logos/svg/中国银行.svg
临商银行,LSB,bank-logos/svg/临商银行.svg
丹东银行,DDBANK,bank-logos/svg/丹东银行.svg
乌海银行,WHB,bank-logos/svg/乌海银行.svg
乌鲁木齐银行,URCB,bank-logos/svg/乌鲁木齐银行.svg
乐山银行,LSBANK,bank-logos/svg/乐山银行.svg
九江银行,JJBANK,bank-logos/svg/九江银行.svg
交通银行,BOCOM,bank-logos/svg/交通银行.svg
佛山农商银行,FSRCB,bank-logos/svg/佛山农商银行.svg
信阳农信社,XYRCC,bank-logos/svg/信阳农信社.svg
兰州银行,LZBANK,bank-logos/svg/兰州银行.svg
兴业银行,CIB,bank-logos/svg/兴业银行.svg
凉山农商银行,LSRCB,bank-logos/svg/凉山农商银行.svg
北京农商银行,BJRCB,bank-logos/svg/北京农商银行.svg
北京银行,BOB,bank-logos/svg/北京银行.svg
华夏银行,HXB,bank-logos/svg/华夏银行.svg
华润银行,CRBANK,bank-logos/svg/华润银行.svg
南京银行,NJCB,bank-logos/svg/南京银行.svg
南洋商业银行,NCB,bank-logos/svg/南洋商业银行.svg
南海农商银行,NHRCB,bank-logos/svg/南海农商银行.svg
博汇银行,,bank-logos/svg/博汇银行.svg
厦门国际银行,XIB,bank-logos/svg/厦门国际银行.svg
厦门银行,XMBANK,bank-logos/svg/厦门银行.svg
台州银行,TACCB,bank-logos/svg/台州银行.svg
合肥农商银行,HFRCB,bank-logos/svg/合肥农商银行.svg
合肥科技农商银行,HFSTB,bank-logos/svg/合肥科技农商银行.svg
吉林银行,JLBANK,bank-logos/svg/吉林银行.svg
哈密市商业银行,HXBANK,bank-logos/svg/哈密市商业银行.svg
哈尔滨银行,HRBB,bank-logos/svg/哈尔滨银行.svg
唐山银行,TSBANK,bank-logos/svg/唐山银行.svg
嘉兴银行,JXBANK,bank-logos/svg/嘉兴银行.svg
四川农信,SCRCU,bank-logos/svg/四川农信.svg
国家开发银行,,bank-logos/svg/国家开发银行.svg
国泰世华银行,,bank-logos/svg/国泰世华银行.svg
大华银行,UOB,bank-logos/svg/大华银行.svg
大连银行,BODL,bank-logos/svg/大连银行.svg
天津滨海农商银行,TJRCB,bank-logos/svg/天津滨海农商银行.svg
天津银行,TJBANK,bank-logos/svg/天津银行.svg
宁夏银行,BONX,bank-logos/svg/宁夏银行.svg
宁波通商银行,,bank-logos/svg/宁波通商银行.svg
宁波银行,NBCB,bank-logos/svg/宁波银行.svg
富滇银行,FD,bank-logos/svg/富滇银行.svg
山东省农信社,SDRCU,bank-logos/svg/山东省农信社.svg
平安银行,PAB,bank-logos/svg/平安银行.svg
广东南粤银行,GDNYB,bank-logos/svg/广东南粤银行.svg
广发银行,CGB,bank-logos/svg/广发银行.svg
广州农商银行,GRCBANK,bank-logos/svg/广州农商银行.svg
广州银行,GZCB,bank-logos/svg/广州银行.svg
德州银行,DZCCB,bank-logos/svg/德州银行.svg
徽商银行,HSBANK,bank-logos/svg/徽商银行.svg
恒丰银行,EGBANK,bank-logos/svg/恒丰银行.svg
恒生银行,HS,bank-logos/svg/恒生银行.svg
成都银行,BOCD,bank-logos/svg/成都银行.svg
承德银行,CDBANK,bank-logos/svg/承德银行.svg
抚顺银行,BOFS,bank-logos/svg/抚顺银行.svg
招商银行,CMB,bank-logos/svg/招商银行.svg
摩根大通,JPMC,bank-logos/svg/摩根大通.svg
新疆汇和银行,HJCCB,bank-logos/svg/新疆汇和银行.svg
日照银行,BOR,bank-logos/svg/日照银行.svg
昆仑银行,KLB,bank-logos/svg/昆仑银行.svg
昆山农商银行,KSRCB,bank-logos/svg/昆山农商银行.svg
星展银行,DBS,bank-logos/svg/星展银行.svg
晋商银行,JSHBANK,bank-logos/svg/晋商银行.svg
晋阳银行,JYBANK,bank-logos/svg/晋阳银行.svg
曲靖商业银行,,bank-logos/svg/曲靖商业银行.svg
朝阳银行,CYCB,bank-logos/svg/朝阳银行.svg
本溪银行,BOBBG,bank-logos/svg/本溪银行.svg
杭州联合银行,HZNSYH,bank-logos/svg/杭州联合银行.svg
杭州银行,HZBANK,bank-logos/svg/杭州银行.svg
柳州银行,LZCCB,bank-logos/svg/柳州银行.svg
桂林银行,GLBANK,bank-logos/svg/桂林银行.svg
武汉农商银行,WHRCBANK,bank-logos/svg/武汉农商银行.svg
民泰银行,MTB,bank-logos/svg/民泰银行.svg
永丰银行,,bank-logos/svg/永丰银行.svg
汇丰银行,HSBC,bank-logos/svg/汇丰银行.svg
汉口银行,HKB,bank-logos/svg/汉口银行.svg
江南农商银行,JNRCB,bank-logos/svg/江南农商银行.svg
江苏银行,JSBANK,bank-logos/svg/江苏银行.svg
江门农商银行,,bank-logos/svg/江门农商银行.svg
江阴农商银行,JYRCB,bank-logos/svg/江阴农商银行.svg
沈阳农商银行,SYRCB,bank-logos/svg/沈阳农商银行.svg
河北银行,HEBBANK,bank-logos/svg/河北银行.svg
泉州银行,QZCCBANK,bank-logos/svg/泉州银行.svg
泰安银行,TRCBANK,bank-logos/svg/泰安银行.svg
济宁银行,JNBANK,bank-logos/svg/济宁银行.svg
浙商银行,CZCB,bank-logos/svg/浙商银行.svg
浙江农信,,bank-logos/svg/浙江农信.svg
浙江民泰银行,ZSEBANK,bank-logos/svg/浙江民泰银行.svg
浙江泰隆商业银行,ZJTL,bank-logos/svg/浙江泰隆商业银行.svg
浦发银行,SPDB,bank-logos/svg/浦发银行.svg
海南省农信社,HNRCC,bank-logos/svg/海南省农信社.svg
深圳农商银行,SZRCB,bank-logos/svg/深圳农商银行.svg
渣打银行,SC,bank-logos/svg/渣打银行.svg
渤海银行,CBHB,bank-logos/svg/渤海银行.svg
温州银行,WZCB,bank-logos/svg/温州银行.svg
湖北银行,HBBANK,bank-logos/svg/湖北银行.svg
湖州银行,HZCCB,bank-logos/svg/湖州银行.svg
潍坊银行,BANKWF,bank-logos/svg/潍坊银行.svg
烟台银行,YTBANK,bank-logos/svg/烟台银行.svg
珠海农商银行,ZHNSB,bank-logos/svg/珠海农商银行.svg
甘肃银行,GSBANK,bank-logos/svg/甘肃银行.svg
盘锦银行,BOPJ,bank-logos/svg/盘锦银行.svg
盛京银行,SJBANK,bank-logos/svg/盛京银行.svg
福建海峡银行,,bank-logos/svg/福建海峡银行.svg
秦皇岛银行,QHDBANK,bank-logos/svg/秦皇岛银行.svg
绍兴银行,SXCCB,bank-logos/svg/绍兴银行.svg
绵阳商业银行,MYCCB,bank-logos/svg/绵阳商业银行.svg
美国银行,BOA,bank-logos/svg/美国银行.svg
自贡银行,ZGBANK,bank-logos/svg/自贡银行.svg
花旗银行,CTTBANK,bank-logos/svg/花旗银行.svg
苏州银行,SUZHOU,bank-logos/svg/苏州银行.svg
营口银行,BYK,bank-logos/svg/营口银行.svg
葫芦岛银行,BOHLD,bank-logos/svg/葫芦岛银行.svg
西安银行,XABANK,bank-logos/svg/西安银行.svg
贵州银行,,bank-logos/svg/贵州银行.svg
贵阳银行,GYBANK,bank-logos/svg/贵阳银行.svg
赣州银行,GZB,bank-logos/svg/赣州银行.svg
辽沈银行,UCCB,bank-logos/svg/辽沈银行.svg
辽阳银行,LCCB,bank-logos/svg/辽阳银行.svg
连云港东方农商银行,LYGRCB,bank-logos/svg/连云港东方农商银行.svg
邯郸银行,HDCB,bank-logos/svg/邯郸银行.svg
郑州银行,ZZBANK,bank-logos/svg/郑州银行.svg
鄂尔多斯银行,ORDS,bank-logos/svg/鄂尔多斯银行.svg
重庆农商银行,CQRCB,bank-logos/svg/重庆农商银行.svg
重庆银行,CQCBANK,bank-logos/svg/重庆银行.svg
金华银行,JHCCB,bank-logos/svg/金华银行.svg
铁岭银行,BOTL,bank-logos/svg/铁岭银行.svg
锦州银行,JZBANK,bank-logos/svg/锦州银行.svg
长城华西银行,CZCBANK,bank-logos/svg/长城华西银行.svg
长江商业银行,CJCCB,bank-logos/svg/长江商业银行.svg
长沙银行,CSCB,bank-logos/svg/长沙银行.svg
阜新银行,FXBANK,bank-logos/svg/阜新银行.svg
青岛银行,QDCCB,bank-logos/svg/青岛银行.svg
青海银行,QHBANK,bank-logos/svg/青海银行.svg
鞍山银行,BOAS,bank-logos/svg/鞍山银行.svg
顺德农商银行,SDRCB,bank-logos/svg/顺德农商银行.svg
马鞍山农商银行,MASRCB,bank-logos/svg/马鞍山农商银行.svg
黄河银行,,bank-logos/svg/黄河银行.svg
齐商银行,,bank-logos/svg/齐商银行.svg
齐鲁银行,QLB,bank-logos/svg/齐鲁银行.svg
龙江银行,LJBANK,bank-logos/svg/龙江银行.svg
